step,timestamp,reward,balance,realized_pnl,unrealized_pnl,position,action,trade_pnl
0,2024-09-26 00:00:00,-0.8,99980.0,-20.0,-9.998,-1,0,-20.0
1,2024-09-26 00:05:00,-0.864726611258334,99980.0,-20.0,-43.2363305629167,-1,0,0.0
2,2024-09-26 00:10:00,-0.9904932674423755,99980.0,-20.0,-49.52466337211877,-1,0,0.0
3,2024-09-26 00:15:00,-2.4888754125521197,99917.7781146862,-82.221885313803,-9.99177781146862,1,1,-62.22188531380299
4,2024-09-26 00:20:00,-0.0024086087594375983,99917.7781146862,-82.221885313803,-0.12043043797187991,1,1,0.0
5,2024-09-26 00:25:00,-0.36863559631679005,99908.56222477827,-91.43777522172275,-9.990856222477829,-1,0,-9.21588990791975
6,2024-09-26 00:30:00,-0.27159438416173803,99908.56222477827,-91.43777522172275,-13.579719208086903,-1,0,0.0
7,2024-09-26 00:35:00,-1.0864062475508371,99881.40206858951,-118.59793141049367,-9.98814020685895,1,1,-27.160156188770927
8,2024-09-26 00:40:00,-0.5944020608872478,99881.40206858951,-118.59793141049367,-29.72010304436239,1,1,0.0
9,2024-09-26 00:45:00,-0.37914428447801074,99881.40206858951,-118.59793141049367,-18.957214223900536,1,1,0.0
10,2024-09-26 00:50:00,-0.37914428447801074,99881.40206858951,-118.59793141049367,-18.957214223900536,1,1,0.0
11,2024-09-26 00:55:00,-0.3253298403758011,99881.40206858951,-118.59793141049367,-16.266492018790053,1,1,0.0
12,2024-09-26 01:00:00,-0.5120695490407178,99868.60032986349,-131.39967013651162,-9.98686003298635,-1,0,-12.801738726017945
13,2024-09-26 01:05:00,0.033412086273533426,99868.60032986349,-131.39967013651162,1.6706043136766713,-1,0,0.0
14,2024-09-26 01:10:00,-0.5119671388092398,99855.80115139326,-144.19884860674262,-9.985580115139326,1,1,-12.799178470230995
15,2024-09-26 01:15:00,-0.7629828954201885,99836.72657900775,-163.27342099224734,-9.983672657900776,-1,0,-19.074572385504712
16,2024-09-26 01:20:00,0.026166988814678976,99837.38075372812,-162.61924627188037,-9.983738075372814,1,1,0.6541747203669743
17,2024-09-26 01:25:00,-0.5117871810662825,99824.58607420146,-175.41392579853743,-9.982458607420146,-1,0,-12.794679526657063
18,2024-09-26 01:30:00,0.2127453889943494,99824.58607420146,-175.41392579853743,10.637269449717468,-1,0,0.0
19,2024-09-26 01:35:00,-0.49699923356649345,99824.58607420146,-175.41392579853743,-8.189438776352585,-1,0,0.0
20,2024-09-26 01:40:00,-1.3365564285048304,99791.17216348884,-208.82783651115818,-9.979117216348884,1,1,-33.41391071262076
21,2024-09-26 01:45:00,-0.12789521509117144,99791.17216348884,-208.82783651115818,-6.394760754558572,1,1,0.0
22,2024-09-26 01:50:00,0.015479043380441055,99791.17216348884,-208.82783651115818,0.7739521690220528,1,1,0.0
23,2024-09-26 01:55:00,0.061830148965885456,99792.71791721298,-207.28208278701103,-9.979271791721299,-1,0,1.5457537241471364
24,2024-09-26 02:00:00,-0.3429310225435576,99792.71791721298,-207.28208278701103,-17.146551127177883,-1,0,0.0
25,2024-09-26 02:05:00,-0.6549818220706973,99776.34337166122,-223.65662833877846,-9.977634337166123,1,1,-16.374545551767433
26,2024-09-26 02:10:00,-0.1458049819562851,99776.34337166122,-223.65662833877846,-7.290249097814255,1,1,0.0
27,2024-09-26 02:15:00,-0.9773518470290157,99751.9095754855,-248.09042451450387,-9.975190957548548,-1,0,-24.433796175725394
28,2024-09-26 02:20:00,-0.4144516391701504,99751.9095754855,-248.09042451450387,-20.72258195850752,-1,0,0.0
29,2024-09-26 02:25:00,-1.7295489740761998,99708.67085113359,-291.32914886640884,-9.970867085113358,1,1,-43.23872435190499
30,2024-09-26 02:30:00,-0.07411471415602472,99708.67085113359,-291.32914886640884,-3.705735707801236,1,1,0.0
31,2024-09-26 02:35:00,-0.056214338792162234,99708.67085113359,-291.32914886640884,-2.8107169396081115,1,1,0.0
32,2024-09-26 02:40:00,-0.2889192185207846,99708.67085113359,-291.32914886640884,-14.445960926039232,1,1,0.0
33,2024-09-26 02:45:00,-0.020413588064834724,99708.67085113359,-291.32914886640884,-1.0206794032417363,1,1,0.0
