epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,510.476,0.63514,0.70032,0.93983,0.90318,0.94941,0.97116,0.78078,0.68323,0.63754,1.02091,0.00333298,0.00333298,0.00333298
2,962.988,0.44677,0.33048,0.84766,0.96373,0.97834,0.98827,0.80438,0.69545,0.54538,1.20277,0.00660032,0.00660032,0.00660032
3,1413.25,0.36398,0.26106,0.83477,0.96809,0.98216,0.99175,0.80121,0.70353,0.48944,1.38729,0.00980165,0.00980165,0.00980165
4,1859.81,0.30468,0.22354,0.82866,0.98549,0.98321,0.99348,0.81926,0.72423,0.52963,1.50989,0.009703,0.009703,0.009703
5,2306.68,inf,0.19992,0.82522,0.9766,0.9842,0.99356,0.82005,0.71906,0.53255,1.55407,0.009604,0.009604,0.009604
6,2753.37,inf,0.18966,0.82338,0.97029,0.9847,0.99357,0.82244,0.71589,0.54236,1.57034,0.009505,0.009505,0.009505
7,3200.55,inf,0.18646,0.82306,0.95473,0.98283,0.99308,0.82224,0.72131,0.55958,1.55235,0.009406,0.009406,0.009406
8,3626.51,inf,0.36776,0.87143,0,0,0,0,4.4941,7.47525,5.65566,0.009307,0.009307,0.009307
9,4053.75,0.34519,0.34833,0.87953,0,0,0,0,4.30348,6.32597,12.9556,0.009208,0.009208,0.009208
10,4522.07,0.33771,0.31992,0.8706,0.00229,0.11121,0.00199,0.00036,4.26362,6.52441,24.7725,0.009109,0.009109,0.009109
11,4978.56,inf,0.27757,0.8514,0.00401,0.01893,0.00224,0.00035,4.09084,23.3916,32.5528,0.00901,0.00901,0.00901
12,5432.9,inf,0.33227,0.86938,0.00048,0.09186,0.00027,3e-05,4.0072,inf,29.5599,0.008911,0.008911,0.008911
13,5892.11,0.3963,0.3986,0.90074,0.00037,0.09292,0.00026,3e-05,3.99998,inf,30.7341,0.008812,0.008812,0.008812
14,6347.32,0.33296,0.32423,0.86863,0.00043,0.09686,0.00026,3e-05,4.28287,inf,24.3521,0.008713,0.008713,0.008713
15,6802.67,inf,0.28982,0.85941,0.0006,0.11361,0.00041,7e-05,4.28475,inf,18.4537,0.008614,0.008614,0.008614
16,7268.81,0.29522,0.26759,0.85186,0.00057,0.01754,0.0003,7e-05,4.44459,62.9661,15.0186,0.008515,0.008515,0.008515
