epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,414.176,0.27723,0.58556,0.65284,0.6361,0.61602,0.65599,0.5338,2.14246,1.60886,1.27934,0.00333295,0.00333295,0.00333295
2,800.343,0.20404,0.21394,0.61715,0.6625,0.5832,0.62781,0.55249,2.08345,2.66167,1.24614,0.00660029,0.00660029,0.00660029
3,1181.35,0.17893,0.18863,0.61373,0.65142,0.5911,0.64705,0.55732,1.92832,1.9817,1.41891,0.00980163,0.00980163,0.00980163
4,1560.24,0.15349,0.16516,0.61108,0.64992,0.62032,0.65478,0.56565,1.89754,1.91256,1.48346,0.009703,0.009703,0.009703
5,1938.57,0.13389,0.14727,0.60924,0.65231,0.62104,0.64777,0.56939,1.88626,2.16386,1.48404,0.009604,0.009604,0.009604
6,2316.57,0.12616,0.13837,0.60835,0.65188,0.62427,0.64798,0.56114,1.91529,2.39961,1.4602,0.009505,0.009505,0.009505
7,2694.54,0.1225,0.13473,0.60775,0.6543,0.62493,0.65064,0.55664,1.90379,2.64602,1.45014,0.009406,0.009406,0.009406
8,3073.28,0.11859,0.13178,0.60613,0.65546,0.62452,0.65087,0.55623,1.83286,2.92741,1.46181,0.009307,0.009307,0.009307
9,3452.6,0.11738,0.13027,0.60551,0.65706,0.62408,0.65148,0.5436,1.82553,3.15852,1.4543,0.009208,0.009208,0.009208
10,3866.42,0.11554,0.1283,0.60524,0.65847,0.62461,0.65113,0.53034,1.79587,3.17783,1.45855,0.009109,0.009109,0.009109
