step,timestamp,reward,balance,realized_pnl,unrealized_pnl,position,action,trade_pnl,trade_fee
0,2024-09-26 00:00:00,-10.0,100000.0,0.0,-10.0,1,1,0.0,0.0
1,2024-09-26 00:05:00,0.0,100000.0,0.0,23.24497955882847,1,1,0.0,0.0
2,2024-09-26 00:10:00,19.530616829147394,100019.53061682914,19.530616829147394,-10.001953061682915,-1,0,19.530616829147394,20.00395345702862
3,2024-09-26 00:15:00,-12.69695294357724,100019.53061682914,19.530616829147394,-12.69695294357724,-1,0,0.0,0.0
4,2024-09-26 00:20:00,-22.578619177183118,100019.53061682914,19.530616829147394,-22.578619177183118,-1,0,0.0,0.0
5,2024-09-26 00:25:00,-33.48025303277841,99986.05036379637,-13.949636203631012,-9.998605036379638,1,1,-33.48025303277841,20.00525362330678
6,2024-09-26 00:30:00,-6.406958562471333,99986.05036379637,-13.949636203631012,-6.406958562471333,1,1,0.0,0.0
7,2024-09-26 00:35:00,-2.8153120885630267,99986.05036379637,-13.949636203631012,-2.8153120885630267,1,1,0.0,0.0
8,2024-09-26 00:40:00,-32.56671565516251,99953.4836481412,-46.51635185879353,-9.995348364814122,-1,0,-32.56671565516251,19.995952996493408
9,2024-09-26 00:45:00,-20.768132663169556,99953.4836481412,-46.51635185879353,-20.768132663169556,-1,0,0.0,0.0
10,2024-09-26 00:50:00,-20.768132663169556,99953.4836481412,-46.51635185879353,-20.768132663169556,-1,0,0.0,0.0
11,2024-09-26 00:55:00,-23.461328737753433,99953.4836481412,-46.51635185879353,-23.461328737753433,-1,0,0.0,0.0
12,2024-09-26 01:00:00,-36.92730911067281,99953.4836481412,-46.51635185879353,-36.92730911067281,-1,0,0.0,0.0
13,2024-09-26 01:05:00,-25.256792787469372,99953.4836481412,-46.51635185879353,-25.256792787469372,-1,0,0.0,0.0
14,2024-09-26 01:10:00,-39.742776287057936,99913.74087185414,-86.25912814585146,-9.991374087185415,1,1,-39.742776287057936,19.99267174008294
15,2024-09-26 01:15:00,-9.09417629197439,99913.74087185414,-86.25912814585146,-9.09417629197439,1,1,0.0,0.0
16,2024-09-26 01:20:00,-29.729725582146713,99913.74087185414,-86.25912814585146,-29.729725582146713,1,1,0.0,0.0
17,2024-09-26 01:25:00,-22.552143220338984,99913.74087185414,-86.25912814585146,-22.552143220338984,1,1,0.0,0.0
18,2024-09-26 01:30:00,-43.187692510511305,99913.74087185414,-86.25912814585146,-43.187692510511305,1,1,0.0,0.0
19,2024-09-26 01:35:00,-24.346538810800872,99913.74087185414,-86.25912814585146,-24.346538810800872,1,1,0.0,0.0
20,2024-09-26 01:40:00,-19.085640098939326,99894.6552317552,-105.34476824479079,-9.98946552317552,-1,0,-19.085640098939326,19.98283789415035
21,2024-09-26 01:45:00,-13.57753894906581,99894.6552317552,-105.34476824479079,-13.57753894906581,-1,0,0.0,0.0
22,2024-09-26 01:50:00,-30.74422774604968,99863.91100400915,-136.08899599084046,-9.986391100400915,1,1,-30.74422774604968,19.98000746837881
23,2024-09-26 01:55:00,0.0,99863.91100400915,-136.08899599084046,0.7733568865538842,1,1,0.0,0.0
24,2024-09-26 02:00:00,0.0,99863.91100400915,-136.08899599084046,7.946522211203693,1,1,0.0,0.0
25,2024-09-26 02:05:00,-2.8132257757511088,99863.91100400915,-136.08899599084046,-2.8132257757511088,1,1,0.0,0.0
26,2024-09-26 02:10:00,-10.11066618964546,99853.8003378195,-146.19966218048592,-9.98538003378195,-1,0,-10.11066618964546,19.973768511033967
27,2024-09-26 02:15:00,-12.798312132063701,99841.00202568744,-158.99797431254962,-9.984100202568744,1,1,-12.798312132063701,19.97004289448766
